time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.015033,-1.838171,-1.500632,-0.022815,-0.009903,0.007935,0.457067,0.322163,-0.006749,-7.937538,-7.890737,-0.007136,136.225303,206.495301,-0.236700,0.032770,-0.046526,0.000000,-0.800865,0.806422,0.000000
0.010000,-2.015239,-1.838255,-1.500553,-0.018619,-0.007043,0.007867,0.384267,0.253207,-0.006833,-6.645792,-5.936894,-0.009747,122.296386,184.547413,-0.281556,0.025768,-0.039124,0.000000,-0.603247,0.675758,0.000000
0.020000,-2.015407,-1.838314,-1.500475,-0.015089,-0.004777,0.007798,0.323704,0.202720,-0.006945,-5.488229,-4.194415,-0.012694,109.381869,164.211537,-0.304428,0.020636,-0.032962,0.000000,-0.426496,0.558373,-0.000000
0.030000,-2.015543,-1.838352,-1.500397,-0.012108,-0.002933,0.007728,0.274088,0.168667,-0.007087,-4.454911,-2.647511,-0.015767,97.440500,145.421359,-0.306808,0.017173,-0.027912,0.000000,-0.269310,0.453416,-0.000000
0.040000,-2.015651,-1.838373,-1.500320,-0.009574,-0.001356,0.007657,0.234224,0.149169,-0.007260,-3.536312,-1.281057,-0.018767,86.431028,128.110563,-0.290188,0.015189,-0.023854,0.000000,-0.130322,0.360013,0.000000
0.050000,-2.015735,-1.838380,-1.500244,-0.007395,0.000093,0.007583,0.203010,0.142493,-0.007462,-2.723321,-0.080590,-0.021512,76.312199,112.212833,-0.256062,0.014510,-0.020675,0.000000,-0.008154,0.277293,0.000000
0.060000,-2.015800,-1.838371,-1.500169,-0.005489,0.001532,0.007507,0.179434,0.147050,-0.007689,-2.007237,0.967689,-0.023835,67.042762,97.661855,-0.205922,0.014974,-0.018275,0.000000,0.098547,0.204404,0.000000
0.070000,-2.015846,-1.838349,-1.500094,-0.003784,0.003066,0.007429,0.162570,0.161383,-0.007937,-1.379772,1.876915,-0.025582,58.581463,84.391312,-0.141260,0.016434,-0.016557,0.000000,0.191090,0.140522,-0.000000
0.080000,-2.015876,-1.838309,-1.500020,-0.002218,0.004787,0.007348,0.151570,0.184166,-0.008198,-0.833052,2.659562,-0.026617,50.887051,72.334890,-0.063568,0.018753,-0.015436,0.000000,0.270727,0.084854,-0.000000
0.090000,-2.015891,-1.838252,-1.499947,-0.000736,0.006774,0.007265,0.145664,0.214192,-0.008466,-0.359613,3.327439,-0.026815,43.918273,61.426274,0.025661,0.021809,-0.014835,0.000000,0.338650,0.036650,-0.000000
0.100000,-2.015891,-1.838173,-1.499875,0.000710,0.009092,0.007179,0.144157,0.250370,-0.008731,0.047595,3.891693,-0.026070,37.633877,51.599147,0.124935,0.025491,-0.014681,0.000000,0.395984,-0.004806,0.000000
0.110000,-2.015876,-1.838069,-1.499804,0.002160,0.011798,0.007091,0.146418,0.291715,-0.008984,0.395209,4.362806,-0.024288,31.992609,42.787194,0.232761,0.029697,-0.014911,0.000000,0.443791,-0.040186,0.000000
0.120000,-2.015847,-1.837935,-1.499733,0.003649,0.014940,0.006999,0.151883,0.337348,-0.009213,0.689454,4.750600,-0.021391,26.953219,34.924100,0.347646,0.034338,-0.015467,0.000000,0.483066,-0.070123,-0.000000
0.130000,-2.015803,-1.837768,-1.499664,0.005207,0.018557,0.006906,0.160048,0.386480,-0.009408,0.936142,5.064230,-0.017317,22.474453,27.943550,0.468099,0.039333,-0.016298,0.000000,0.514741,-0.095208,0.000000
0.140000,-2.015743,-1.837563,-1.499595,0.006858,0.022679,0.006811,0.170465,0.438414,-0.009556,1.140674,5.312191,-0.012016,18.515060,21.779228,0.592627,0.044611,-0.017358,0.000000,0.539679,-0.115992,-0.000000
0.150000,-2.015666,-1.837313,-1.499527,0.008622,0.027332,0.006715,0.182738,0.492531,-0.009644,1.308037,5.502314,-0.005455,15.033786,16.364819,0.719738,0.050107,-0.018607,0.000000,0.558683,-0.132983,0.000000
0.160000,-2.015570,-1.837014,-1.499461,0.010517,0.032535,0.006619,0.196518,0.548291,-0.009661,1.442806,5.641766,0.002383,11.989379,11.634008,0.847938,0.055767,-0.020010,0.000000,0.572488,-0.146648,-0.000000
0.170000,-2.015455,-1.836660,-1.499395,0.012557,0.038302,0.006523,0.211499,0.605220,-0.009592,1.549143,5.737052,0.011502,9.340588,7.520478,0.975737,0.061542,-0.021535,0.000000,0.581764,-0.157414,-0.000000
0.180000,-2.015318,-1.836246,-1.499330,0.014750,0.044642,0.006427,0.227418,0.662905,-0.009426,1.630799,5.794012,0.021891,7.046159,3.957915,1.101640,0.067389,-0.023156,0.000000,0.587114,-0.165665,0.000000
0.190000,-2.015159,-1.835766,-1.499266,0.017107,0.051562,0.006334,0.244044,0.720989,-0.009150,1.691110,5.817826,0.033524,5.064840,0.880004,1.224157,0.073273,-0.024849,0.000000,0.589077,-0.171742,0.000000
0.200000,-2.014976,-1.835213,-1.499204,0.019633,0.059062,0.006245,0.261179,0.779166,-0.008752,1.733002,5.813007,0.046358,3.355379,-1.779572,1.341793,0.079161,-0.026594,0.000000,0.588123,-0.175947,-0.000000
0.210000,-2.014766,-1.834583,-1.499142,0.022330,0.067141,0.006160,0.278722,0.837290,-0.008220,1.765530,5.794741,0.060280,1.711231,-4.373375,1.454538,0.085039,-0.028381,0.000000,0.585796,-0.179201,0.000000
0.220000,-2.014528,-1.833868,-1.499080,0.025206,0.075803,0.006081,0.296438,0.894980,-0.007543,1.775304,5.739388,0.075356,0.276677,-6.646422,1.559237,0.090869,-0.030186,0.000000,0.579727,-0.180150,-0.000000
0.230000,-2.014261,-1.833065,-1.499020,0.028259,0.085038,0.006009,0.314184,0.952007,-0.006709,1.771693,5.662777,0.091432,-0.969298,-8.629978,1.654217,0.096627,-0.031994,0.000000,0.571529,-0.179748,0.000000
0.240000,-2.013963,-1.832166,-1.498960,0.031489,0.094840,0.005947,0.331834,1.008173,-0.005711,1.756477,5.567649,0.108402,-2.047704,-10.355307,1.737804,0.102293,-0.033794,0.000000,0.561490,-0.178178,0.000000
0.250000,-2.013631,-1.831166,-1.498901,0.034895,0.105198,0.005896,0.349280,1.063306,-0.004539,1.731227,5.456428,0.126144,-2.979556,-11.853674,1.808324,0.107851,-0.035573,0.000000,0.549867,-0.175602,0.000000
0.260000,-2.013264,-1.830060,-1.498842,0.038473,0.116101,0.005857,0.366466,1.117312,-0.003184,1.700643,5.336407,0.144723,-3.870208,-13.287170,1.858953,0.113292,-0.037327,0.000000,0.537404,-0.172498,-0.000000
0.270000,-2.012861,-1.828842,-1.498784,0.042222,0.127538,0.005833,0.383265,1.169990,-0.001643,1.657971,5.197126,0.163501,-4.646003,-14.540213,1.893799,0.118595,-0.039042,0.000000,0.523057,-0.168183,0.000000
0.280000,-2.012419,-1.827507,-1.498725,0.046137,0.139496,0.005825,0.399601,1.221215,0.000087,1.608071,5.046154,0.182543,-5.317625,-15.628050,1.911819,0.123749,-0.040712,0.000000,0.507595,-0.163151,-0.000000
0.290000,-2.011938,-1.826051,-1.498667,0.050212,0.151958,0.005835,0.415406,1.270879,0.002008,1.551930,4.885065,0.201678,-5.895760,-16.565925,1.911970,0.128744,-0.042328,0.000000,0.491183,-0.157503,-0.000000
0.300000,-2.011415,-1.824467,-1.498609,0.054443,0.164908,0.005866,0.430622,1.318888,0.004120,1.490431,4.715284,0.220720,-6.391092,-17.369084,1.893208,0.133570,-0.043886,0.000000,0.473966,-0.151328,-0.000000
0.310000,-2.010848,-1.822751,-1.498550,0.058822,0.178329,0.005918,0.445217,1.365186,0.006425,1.426035,4.540428,0.239820,-6.856911,-18.112026,1.845784,0.138223,-0.045383,0.000000,0.456312,-0.144875,0.000000
0.320000,-2.010238,-1.820898,-1.498490,0.063344,0.192205,0.005995,0.459128,1.409673,0.008915,1.355417,4.356061,0.257958,-7.256080,-18.743487,1.778427,0.142694,-0.046810,0.000000,0.437768,-0.137805,-0.000000
0.330000,-2.009581,-1.818905,-1.498430,0.068002,0.206516,0.006097,0.472313,1.452287,0.011582,1.281118,4.165903,0.275322,-7.594068,-19.271456,1.691163,0.146977,-0.048166,0.000000,0.418710,-0.130375,0.000000
0.340000,-2.008877,-1.816767,-1.498368,0.072788,0.221244,0.006227,0.484740,1.492975,0.014418,1.203722,3.970950,0.291715,-7.876343,-19.703924,1.584013,0.151067,-0.049445,0.000000,0.399234,-0.122641,-0.000000
0.350000,-2.008125,-1.814479,-1.498305,0.077694,0.236369,0.006386,0.496379,1.531693,0.017412,1.123758,3.772116,0.306936,-8.108373,-20.048879,1.457002,0.154961,-0.050646,0.000000,0.379426,-0.114656,-0.000000
0.360000,-2.007323,-1.812038,-1.498240,0.082713,0.251871,0.006575,0.507217,1.568419,0.020556,1.042542,3.571294,0.321139,-8.316819,-20.341009,1.301291,0.158656,-0.051766,0.000000,0.359474,-0.106551,0.000000
0.370000,-2.006470,-1.809440,-1.498174,0.087835,0.267730,0.006797,0.517224,1.603111,0.023830,0.958508,3.366737,0.333295,-8.483362,-20.558337,1.126851,0.162149,-0.052803,0.000000,0.339185,-0.098163,0.000000
0.380000,-2.005566,-1.806682,-1.498104,0.093054,0.283926,0.007052,0.526383,1.635748,0.027216,0.873005,3.160361,0.343618,-8.610875,-20.705584,0.934788,0.165439,-0.053755,0.000000,0.318749,-0.089625,0.000000
0.390000,-2.004609,-1.803761,-1.498032,0.098360,0.300438,0.007342,0.534680,1.666314,0.030695,0.786411,2.952843,0.351936,-8.702231,-20.787470,0.726213,0.168524,-0.054620,0.000000,0.298224,-0.080974,-0.000000
0.400000,-2.003598,-1.800673,-1.497957,0.103745,0.317246,0.007667,0.542108,1.694803,0.034247,0.699072,2.744814,0.358091,-8.760303,-20.808716,0.502233,0.171404,-0.055398,0.000000,0.277664,-0.072242,0.000000
0.410000,-2.002534,-1.797415,-1.497879,0.109199,0.334327,0.008027,0.548665,1.721216,0.037852,0.611710,2.537329,0.362187,-8.798160,-20.786016,0.257540,0.174078,-0.056087,0.000000,0.257169,-0.063501,0.000000
0.420000,-2.001414,-1.793985,-1.497797,0.114715,0.351663,0.008424,0.554342,1.745551,0.041483,0.523659,2.329804,0.363487,-8.807230,-20.710652,0.000444,0.176547,-0.056687,0.000000,0.236662,-0.054676,0.000000
0.430000,-2.000239,-1.790381,-1.497710,0.120283,0.369231,0.008857,0.559138,1.767815,0.045113,0.435656,2.123281,0.362161,-8.789140,-20.585877,-0.267159,0.178811,-0.057198,0.000000,0.216242,-0.045843,-0.000000
0.440000,-1.999008,-1.786600,-1.497619,0.125895,0.387012,0.009326,0.563056,1.788022,0.048717,0.347962,1.918240,0.358115,-8.745515,-20.414946,-0.543377,0.180872,-0.057619,0.000000,0.195948,-0.037024,-0.000000
0.450000,-1.997721,-1.782640,-1.497524,0.131541,0.404985,0.009831,0.566099,1.806187,0.052266,0.260825,1.715125,0.351271,-8.677979,-20.201114,-0.826314,0.182731,-0.057950,0.000000,0.175816,-0.028244,0.000000
0.460000,-1.996377,-1.778500,-1.497423,0.137214,0.423129,0.010371,0.568277,1.822334,0.055734,0.174656,1.514563,0.341675,-8.592690,-19.953023,-1.116665,0.184390,-0.058194,0.000000,0.155903,-0.019542,0.000000
0.470000,-1.994977,-1.774177,-1.497316,0.142904,0.441425,0.010945,0.569596,1.836487,0.059090,0.089244,1.316429,0.329044,-8.486186,-19.667880,-1.409631,0.185850,-0.058348,0.000000,0.136185,-0.010895,0.000000
0.480000,-1.993519,-1.769671,-1.497204,0.148603,0.459852,0.011552,0.570066,1.848673,0.062305,0.004999,1.121320,0.313481,-8.359536,-19.348279,-1.703001,0.187114,-0.058416,0.000000,0.116717,-0.002344,0.000000
0.490000,-1.992005,-1.764980,-1.497085,0.154303,0.478392,0.012191,0.569700,1.858924,0.065350,-0.077883,0.929569,0.294991,-8.213810,-18.996816,-1.994563,0.188185,-0.058396,0.000000,0.097527,0.006092,0.000000
0.500000,-1.990433,-1.760103,-1.496960,0.159994,0.497025,0.012858,0.568513,1.867276,0.068195,-0.159217,0.741482,0.273603,-8.050077,-18.616084,-2.282108,0.189066,-0.058292,0.000000,0.078642,0.014394,-0.000000
0.510000,-1.988805,-1.755039,-1.496828,0.165670,0.515731,0.013554,0.566522,1.873768,0.070812,-0.238761,0.557442,0.249312,-7.871104,-18.211344,-2.561983,0.189759,-0.058104,0.000000,0.060097,0.022537,0.000000
0.520000,-1.987120,-1.749788,-1.496689,0.171322,0.534494,0.014274,0.563744,1.878439,0.073172,-0.316510,0.377455,0.222326,-7.676056,-17.782199,-2.833594,0.190269,-0.057834,0.000000,0.041891,0.030519,-0.000000
0.530000,-1.985379,-1.744349,-1.496542,0.176942,0.553294,0.015016,0.560199,1.881332,0.075249,-0.392231,0.201872,0.192675,-7.465796,-17.330917,-3.094907,0.190598,-0.057483,0.000000,0.024059,0.038317,0.000000
0.540000,-1.983581,-1.738722,-1.496388,0.182524,0.572115,0.015778,0.555907,1.882492,0.077017,-0.465778,0.030903,0.160469,-7.241187,-16.859767,-3.343887,0.190751,-0.057054,0.000000,0.006622,0.045913,0.000000
0.550000,-1.981728,-1.732907,-1.496227,0.188058,0.590938,0.016555,0.550891,1.881966,0.078451,-0.537010,-0.135265,0.125845,-7.003091,-16.371018,-3.578499,0.190732,-0.056548,0.000000,-0.010400,0.053292,0.000000
0.560000,-1.979820,-1.726903,-1.496057,0.193539,0.609749,0.017346,0.545175,1.879804,0.079525,-0.605780,-0.296390,0.088766,-6.752821,-15.868869,-3.791965,0.190545,-0.055969,0.000000,-0.026984,0.060438,0.000000
0.570000,-1.977858,-1.720712,-1.495880,0.198959,0.628529,0.018145,0.538784,1.876055,0.080219,-0.672007,-0.452512,0.049853,-6.490733,-15.353422,-3.987574,0.190194,-0.055318,0.000000,-0.043121,0.067336,0.000000
0.580000,-1.975841,-1.714333,-1.495694,0.204313,0.647265,0.018949,0.531744,1.870771,0.080515,-0.735558,-0.603421,0.009079,-6.217634,-14.826707,-4.163874,0.189684,-0.054599,0.000000,-0.058791,0.073974,0.000000
0.590000,-1.973772,-1.707767,-1.495501,0.209592,0.665940,0.019754,0.524082,1.864005,0.080395,-0.796326,-0.749015,-0.033355,-5.934332,-14.290757,-4.319412,0.189020,-0.053813,0.000000,-0.073977,0.080336,0.000000
0.600000,-1.971650,-1.701014,-1.495299,0.214792,0.684540,0.020555,0.515827,1.855809,0.079843,-0.854213,-0.889212,-0.077235,-5.641634,-13.747603,-4.452733,0.188206,-0.052964,0.000000,-0.088666,0.086411,-0.000000
0.610000,-1.969476,-1.694076,-1.495090,0.219907,0.703051,0.021349,0.507008,1.846240,0.078844,-0.909123,-1.023860,-0.122598,-5.340504,-13.201534,-4.555625,0.187248,-0.052054,0.000000,-0.102841,0.092186,-0.000000
0.620000,-1.967252,-1.686953,-1.494872,0.224931,0.721460,0.022131,0.497655,1.835350,0.077388,-0.960990,-1.153130,-0.168568,-5.031572,-12.652049,-4.634222,0.186151,-0.051088,0.000000,-0.116499,0.097648,0.000000
0.630000,-1.964978,-1.679647,-1.494647,0.229858,0.739754,0.022895,0.487798,1.823195,0.075470,-1.009731,-1.276896,-0.215200,-4.715627,-12.100903,-4.687896,0.184920,-0.050068,0.000000,-0.129627,0.102789,0.000000
0.640000,-1.962655,-1.672159,-1.494414,0.234685,0.757920,0.023638,0.477471,1.809831,0.073083,-1.055282,-1.395149,-0.262241,-4.393458,-11.549852,-4.716022,0.183560,-0.048998,0.000000,-0.142215,0.107598,0.000000
0.650000,-1.960285,-1.664489,-1.494174,0.239406,0.775947,0.024355,0.466704,1.795311,0.070225,-1.097583,-1.507899,-0.309433,-4.065851,-11.000651,-4.717973,0.182077,-0.047881,0.000000,-0.154256,0.112068,-0.000000
0.660000,-1.957867,-1.656640,-1.493927,0.244018,0.793823,0.025041,0.455530,1.779692,0.066892,-1.136567,-1.615054,-0.356800,-3.733997,-10.458076,-4.685839,0.180477,-0.046720,0.000000,-0.165739,0.116189,0.000000
0.670000,-1.955405,-1.648613,-1.493674,0.248516,0.811537,0.025692,0.443983,1.763028,0.063090,-1.172232,-1.716942,-0.403387,-3.398232,-9.920493,-4.627170,0.178764,-0.045520,0.000000,-0.176676,0.119957,0.000000
0.680000,-1.952897,-1.640410,-1.493414,0.252896,0.829080,0.026302,0.432097,1.745371,0.058826,-1.204522,-1.813485,-0.449255,-3.059297,-9.389288,-4.542232,0.176945,-0.044283,0.000000,-0.187058,0.123365,0.000000
0.690000,-1.950347,-1.632032,-1.493148,0.257157,0.846441,0.026867,0.419904,1.726775,0.054108,-1.233409,-1.904754,-0.494145,-2.717929,-8.865846,-4.431292,0.175025,-0.043015,0.000000,-0.196884,0.126408,0.000000
0.700000,-1.947755,-1.623482,-1.492877,0.261293,0.863612,0.027382,0.407440,1.707293,0.048948,-1.258874,-1.990833,-0.537795,-2.374869,-8.351552,-4.294614,0.173009,-0.041717,0.000000,-0.206156,0.129084,-0.000000
0.710000,-1.945122,-1.614761,-1.492600,0.265305,0.880584,0.027844,0.394739,1.686977,0.043355,-1.280870,-2.071672,-0.580208,-2.031711,-7.851531,-4.126007,0.170904,-0.040395,0.000000,-0.214867,0.131388,-0.000000
0.720000,-1.942449,-1.605871,-1.492320,0.269188,0.897349,0.028248,0.381834,1.665876,0.037349,-1.299469,-2.147735,-0.620523,-1.688234,-7.362972,-3.932985,0.168714,-0.039052,0.000000,-0.223046,0.133324,0.000000
0.730000,-1.939738,-1.596815,-1.492036,0.272941,0.913899,0.028590,0.368761,1.644039,0.030951,-1.314635,-2.218973,-0.658790,-1.345070,-6.886804,-3.716607,0.166445,-0.037691,0.000000,-0.230690,0.134889,-0.000000
0.740000,-1.936991,-1.587594,-1.491748,0.276562,0.930228,0.028866,0.355553,1.621512,0.024181,-1.326374,-2.285515,-0.694780,-1.002854,-6.423956,-3.477927,0.164102,-0.036317,0.000000,-0.237806,0.136085,0.000000
0.750000,-1.934207,-1.578211,-1.491459,0.280051,0.946328,0.029073,0.342245,1.598344,0.017064,-1.334698,-2.347499,-0.728277,-0.662219,-5.975354,-3.218004,0.161690,-0.034934,0.000000,-0.244404,0.136912,0.000000
0.760000,-1.931390,-1.568668,-1.491167,0.283407,0.962193,0.029206,0.328871,1.574579,0.009623,-1.339576,-2.404912,-0.759257,-0.325058,-5.545991,-2.933246,0.159216,-0.033544,0.000000,-0.250484,0.137369,0.000000
0.770000,-1.928540,-1.558968,-1.490875,0.286629,0.977817,0.029264,0.315464,1.550260,0.001888,-1.341152,-2.458290,-0.787088,0.009408,-5.132233,-2.629926,0.156682,-0.032153,0.000000,-0.256088,0.137471,-0.000000
0.780000,-1.925658,-1.549112,-1.490582,0.289716,0.993196,0.029243,0.302059,1.525427,-0.006109,-1.339398,-2.507610,-0.811799,0.340698,-4.734512,-2.309672,0.154095,-0.030762,0.000000,-0.261217,0.137217,-0.000000
0.790000,-1.922746,-1.539105,-1.490290,0.292670,1.008324,0.029141,0.288687,1.500120,-0.014337,-1.334350,-2.553035,-0.833230,0.668333,-4.353258,-1.974109,0.151460,-0.029376,0.000000,-0.265887,0.136612,-0.000000
0.800000,-1.919805,-1.528947,-1.489999,0.295490,1.023197,0.028956,0.275383,1.474378,-0.022762,-1.326045,-2.594732,-0.851236,0.991833,-3.988902,-1.624864,0.148779,-0.027999,0.000000,-0.270115,0.135661,-0.000000
0.810000,-1.916837,-1.518642,-1.489711,0.298178,1.037810,0.028685,0.262178,1.448239,-0.031350,-1.314473,-2.632720,-0.865780,1.309310,-3.645681,-1.261229,0.146059,-0.026634,0.000000,-0.273903,0.134367,-0.000000
0.820000,-1.913842,-1.508191,-1.489426,0.300734,1.052161,0.028328,0.249104,1.421735,-0.040065,-1.299813,-2.667533,-0.876531,1.621864,-3.319753,-0.887449,0.143302,-0.025284,0.000000,-0.277304,0.132750,0.000000
0.830000,-1.910822,-1.497599,-1.489145,0.303161,1.066244,0.027884,0.236192,1.394899,-0.048868,-1.282053,-2.699173,-0.883501,1.929188,-3.011083,-0.505436,0.140514,-0.023953,0.000000,-0.280322,0.130810,-0.000000
0.840000,-1.907779,-1.486868,-1.488869,0.305459,1.080058,0.027351,0.223473,1.367762,-0.057722,-1.261247,-2.727812,-0.886618,2.230974,-2.719635,-0.117103,0.137697,-0.022643,0.000000,-0.282977,0.128555,-0.000000
0.850000,-1.904714,-1.475999,-1.488598,0.307631,1.093598,0.026729,0.210977,1.340352,-0.066588,-1.237453,-2.753623,-0.885829,2.526915,-2.445374,0.275639,0.134856,-0.021358,0.000000,-0.285288,0.125995,0.000000
0.860000,-1.901627,-1.464996,-1.488334,0.309679,1.106864,0.026019,0.198734,1.312699,-0.075426,-1.210681,-2.776657,-0.881097,2.815473,-2.191291,0.670864,0.131993,-0.020101,0.000000,-0.287266,0.123133,-0.000000
0.870000,-1.898520,-1.453863,-1.488078,0.311606,1.119852,0.025221,0.186773,1.284827,-0.084197,-1.181110,-2.797369,-0.872409,3.097722,-1.953954,1.066677,0.129111,-0.018875,0.000000,-0.288958,0.119988,0.000000
0.880000,-1.895395,-1.442600,-1.487830,0.313416,1.132560,0.024336,0.175121,1.256760,-0.092861,-1.148748,-2.815790,-0.859768,3.373503,-1.732957,1.461166,0.126214,-0.017682,0.000000,-0.290374,0.116566,0.000000
0.890000,-1.892252,-1.431212,-1.487592,0.315110,1.144986,0.023364,0.163807,1.228519,-0.101379,-1.113662,-2.832082,-0.843196,3.642661,-1.527895,1.852421,0.123305,-0.016526,0.000000,-0.291534,0.112873,0.000000
0.900000,-1.889093,-1.419702,-1.487363,0.316693,1.157129,0.022309,0.152857,1.200125,-0.109712,-1.075918,-2.846400,-0.822736,3.905037,-1.338362,2.238533,0.120385,-0.015408,0.000000,-0.292459,0.108921,-0.000000
0.910000,-1.885919,-1.408071,-1.487146,0.318168,1.168988,0.021171,0.142297,1.171597,-0.117820,-1.035554,-2.858824,-0.798369,4.159719,-1.165859,2.615558,0.117456,-0.014332,0.000000,-0.293160,0.104713,-0.000000
0.920000,-1.882730,-1.396323,-1.486940,0.319540,1.180561,0.019953,0.132154,1.142954,-0.125667,-0.992713,-2.869680,-0.770363,4.407398,-1.007840,2.983869,0.114522,-0.013300,0.000000,-0.293679,0.100266,-0.000000
0.930000,-1.879528,-1.384460,-1.486747,0.320813,1.191847,0.018658,0.122451,1.114209,-0.133215,-0.947430,-2.879027,-0.738726,4.648011,-0.863666,3.341803,0.111583,-0.012314,0.000000,-0.294025,0.095586,-0.000000
0.940000,-1.876314,-1.372487,-1.486567,0.321991,1.202845,0.017290,0.113213,1.085378,-0.140429,-0.899776,-2.886998,-0.703568,4.881492,-0.732696,3.687701,0.108642,-0.011377,0.000000,-0.294218,0.090681,0.000000
0.950000,-1.873089,-1.360405,-1.486401,0.323079,1.213554,0.015851,0.104463,1.056473,-0.147275,-0.849824,-2.893723,-0.665017,5.107778,-0.614293,4.019900,0.105699,-0.010491,0.000000,-0.294276,0.085558,0.000000
0.960000,-1.869853,-1.348217,-1.486250,0.324082,1.223974,0.014346,0.096224,1.027507,-0.153717,-0.797641,-2.899297,-0.623081,5.326694,-0.508490,4.333222,0.102757,-0.009657,0.000000,-0.294212,0.080226,0.000000
0.970000,-1.866608,-1.335926,-1.486115,0.325005,1.234104,0.012778,0.088518,0.998490,-0.159727,-0.743310,-2.903900,-0.578251,5.538300,-0.413891,4.629954,0.099815,-0.008878,0.000000,-0.294053,0.074692,0.000000
0.980000,-1.863353,-1.323536,-1.485995,0.325854,1.243944,0.011153,0.081365,0.969432,-0.165273,-0.686899,-2.907609,-0.530542,5.742543,-0.329775,4.908867,0.096876,-0.008156,0.000000,-0.293811,0.068965,-0.000000
0.990000,-1.860091,-1.311048,-1.485892,0.326634,1.253493,0.009474,0.074786,0.940341,-0.170328,-0.628483,-2.910528,-0.480137,5.939372,-0.255420,5.168731,0.093939,-0.007493,0.000000,-0.293501,0.063050,0.000000
1.000000,-1.856821,-1.298467,-1.485806,0.327352,1.262751,0.007748,0.068802,0.911224,-0.174867,-0.568137,-2.912748,-0.427235,6.128737,-0.190104,5.408314,0.091006,-0.006890,0.000000,-0.293137,0.056955,0.000000
1.010000,-1.853544,-1.285794,-1.485737,0.328012,1.271717,0.005979,0.063430,0.882088,-0.178864,-0.505954,-2.914371,-0.371869,6.311101,-0.132756,5.621993,0.088077,-0.006350,0.000000,-0.292732,0.050689,0.000000
1.020000,-1.850261,-1.273033,-1.485686,0.328622,1.280392,0.004172,0.058689,0.852938,-0.182298,-0.441963,-2.915444,-0.314673,6.485834,-0.083045,5.813470,0.085152,-0.005873,0.000000,-0.292300,0.044253,0.000000
1.030000,-1.846972,-1.260187,-1.485654,0.329188,1.288776,0.002335,0.054596,0.823781,-0.185151,-0.376263,-2.916055,-0.255676,6.652823,-0.040293,5.982052,0.082231,-0.005462,0.000000,-0.291851,0.037656,0.000000
1.040000,-1.843677,-1.247259,-1.485640,0.329716,1.296868,0.000471,0.051169,0.794619,-0.187406,-0.308933,-2.916271,-0.195110,6.811953,-0.003820,6.127047,0.079315,-0.005118,0.000000,-0.291397,0.030903,0.000000
1.050000,-1.840377,-1.234251,-1.485644,0.330214,1.304668,-0.001411,0.048423,0.765456,-0.189049,-0.240051,-2.916150,-0.133216,6.963110,0.027052,6.247764,0.076403,-0.004843,0.000000,-0.290945,0.024001,-0.000000
1.060000,-1.837073,-1.221166,-1.485668,0.330687,1.312177,-0.003308,0.046372,0.736296,-0.190065,-0.169734,-2.915787,-0.070052,7.107108,0.054036,6.338802,0.073496,-0.004637,0.000000,-0.290509,0.016960,-0.000000
1.070000,-1.833764,-1.208008,-1.485711,0.331144,1.319394,-0.005211,0.045033,0.707141,-0.190447,-0.097978,-2.915130,-0.006313,7.242790,0.076652,6.404752,0.070593,-0.004503,0.000000,-0.290088,0.009776,0.000000
1.080000,-1.830450,-1.194779,-1.485772,0.331590,1.326320,-0.007114,0.044417,0.677994,-0.190189,-0.024907,-2.914267,0.057959,7.369930,0.095452,6.445500,0.067694,-0.004442,0.000000,-0.289693,0.002459,0.000000
1.090000,-1.827132,-1.181483,-1.485853,0.332034,1.332954,-0.009012,0.044539,0.648857,-0.189287,0.049392,-2.913232,0.122512,7.488298,0.110991,6.460929,0.064799,-0.004454,0.000000,-0.289329,-0.004984,0.000000
1.100000,-1.823809,-1.168121,-1.485952,0.332484,1.339297,-0.010898,0.045409,0.619730,-0.187739,0.124829,-2.912056,0.187093,7.597668,0.123820,6.450924,0.061907,-0.004542,0.000000,-0.289002,-0.012546,0.000000
1.110000,-1.820482,-1.154698,-1.486071,0.332945,1.345349,-0.012765,0.047038,0.590615,-0.185544,0.201275,-2.910815,0.251625,7.698792,0.135800,6.410829,0.059019,-0.004706,0.000000,-0.288718,-0.020219,0.000000
1.120000,-1.817150,-1.141215,-1.486208,0.333427,1.351109,-0.014607,0.049437,0.561514,-0.182708,0.278729,-2.909404,0.315428,7.790342,0.146017,6.345625,0.056133,-0.004947,0.000000,-0.288472,-0.028005,0.000000
1.130000,-1.813814,-1.127677,-1.486363,0.333937,1.356579,-0.016417,0.052616,0.532427,-0.179238,0.357049,-2.907899,0.378456,7.871969,0.154863,6.255749,0.053249,-0.005267,0.000000,-0.288271,-0.035891,0.000000
1.140000,-1.810471,-1.114085,-1.486536,0.334482,1.361758,-0.018189,0.056581,0.503356,-0.175143,0.436134,-2.906310,0.440463,7.943325,0.162731,6.141642,0.050367,-0.005666,0.000000,-0.288116,-0.043871,0.000000
1.150000,-1.807124,-1.100442,-1.486726,0.335071,1.366646,-0.019918,0.061341,0.474302,-0.170433,0.515880,-2.904646,0.501209,8.004062,0.170014,6.003744,0.047487,-0.006146,0.000000,-0.288007,-0.051937,-0.000000
